post_id	make	model	year	odometer	vin	title_status	cylinders	crumb_area	crumb_subarea	price
6879328144			2015	38757	JTDKN3DUXF1992224	clean	4 cylinders	atlanta	atlanta	16300
6879047103			2006			clean		atlanta	otp east	7000
6878983688			2014	99000	3vwpl7aj0em614831	clean		missoula		8700
6879395419			2005	142000		clean	8 cylinders	missoula		12500
6879034943	subaru	outback-xt	2008	125000		lien	4 cylinders	missoula		9980
6879007288	subaru	outback	2010	91500		rebuilt	4 cylinders	missoula		8400
6879344294			2005			lien	6 cylinders	atlanta	atlanta	4000
6879430492			2004			clean	8 cylinders	minneapolis	hennepin co	6250
6879575074			2001			clean	4 cylinders	minneapolis	washington/WI	2500
6879710471			2006			clean	6 cylinders	minneapolis	anok/chis/isa	3000
6879751539			2000		Gatsby cabaret	clean	8 cylinders	minneapolis	anok/chis/isa	24000
6879495824			2010	15000		clean	8 cylinders	minneapolis	anok/chis/isa	22000
6879430414	subaru	wrx	2011	88643		rebuilt	4 cylinders	minneapolis	hennepin co	10500
6879429840			1999			clean	8 cylinders	minneapolis	dakota/scott	1800
6879581193			2016	49140	1G11C5SA7GF101874	clean	4 cylinders	minneapolis	washington/WI	12000
6879466102	subaru	impreza-sti-wrx	2006	183000	JF1GD70656L517419	clean	4 cylinders	minneapolis	ramsey co	10000
6879632904			2012	1300	3C144J128215	clean	6 cylinders	minneapolis	dakota/scott	25500
6879603383			2002	166000		clean		minneapolis	dakota/scott	5000
6879502112	subaru	forester	2002	260000		clean		minneapolis	hennepin co	1999
6879483242			2012	146000		clean		minneapolis	dakota/scott	10000
6879564809			2010,2012			clean	8 cylinders	minneapolis	hennepin co	6500
6879680256			2016	40576		clean	4 cylinders	minneapolis	ramsey co	24500
6879770452				66012		clean	4 cylinders	minneapolis	hennepin co	11400
6879696197			2004			clean	8 cylinders	minneapolis	anok/chis/isa	9500
6879780560			2011			clean		minneapolis	washington/WI	8995
6879454891	subaru		2017	26800		clean	other	minneapolis	dakota/scott	31500
6880132560			1995			clean	4 cylinders	atlanta	atlanta	5500
6880075347			2004	76000	WVWVD63B54E027293	clean	4 cylinders	atlanta	atlanta	999
6880056273			2007	130		clean	4 cylinders	atlanta	atlanta	3200
6879645985			1995	94000		clean	8 cylinders	atlanta	atlanta	4500
6879863002			2009			clean		atlanta	atlanta	89000
6880148876			2015			clean		atlanta	otp north	50000
6880088466						missing		atlanta	otp west	6500
6880146810			2006	106000		clean		atlanta	otp west	3995
6879669669			2006		1GKFK66U16J153740	clean		atlanta	otp north	8300
6880052462			2002	265000		clean	8 cylinders	atlanta	otp north	4490
6879647919			2004	75000		clean	8 cylinders	atlanta	atlanta	6000
6879742308						missing		atlanta	otp north	7500
6880004547			2009	75000		clean	6 cylinders	atlanta	otp south	13500
6879608098			2013	81897		clean	8 cylinders	atlanta	otp north	20975
6879555533			2010			clean		atlanta	atlanta	15500
6879467274			2009	50000		clean	6 cylinders	atlanta	atlanta	14500
6879617470						clean		atlanta	atlanta	4000
6879477117			2014			parts only		atlanta	atlanta	10999
6880069739						clean		atlanta	atlanta	1700
6880082224			1996	122989	1G1YY2258T5109497	clean	8 cylinders	atlanta	otp north	13000
6879899553			2013,1999,2017,2004	164		clean	8 cylinders	atlanta	otp north	4000
6879791037			2007	126000	1GCHC23D37F189500	clean	8 cylinders	atlanta	otp north	18000
6880105176			2013	73452	WDDHF5KB1DA717820	clean	6 cylinders	atlanta	atlanta	16499
6879958591	subaru		2011	111123	JF2SHBDC4BH731764	clean	4 cylinders	atlanta	otp north	8550
6879943147				99000	1ftns2ew2ada38123	clean	8 cylinders	atlanta	otp east	12500
6879948592			1998			clean	8 cylinders	atlanta	otp south	1990
6879900657			2007	136280	1G1ZS58NX7F270738	clean	6 cylinders	atlanta	atlanta	3800
6879572289			2012			clean		atlanta	atlanta	17000
6879849332	subaru	impreza-wrx	2002	170000	JF1GG29652G828915	clean	4 cylinders	atlanta	otp north	5000
6880132235			2002	203000		clean		atlanta	atlanta	3500
6880177766			2008	151000		clean	4 cylinders	minneapolis	washington/WI	3500
6879997913			2008			clean		minneapolis	dakota/scott	7500
6880088247	subaru	tribeca	2010	156750	4S4WX9GD5A4400712	clean	6 cylinders	minneapolis	hennepin co	5700
6879980368			2000	186000		clean	6 cylinders	minneapolis	hennepin co	900
6879930587			2009			clean	4 cylinders	minneapolis	ramsey co	3200
6879930510			2016			clean		minneapolis	carv/sher/wri	34900
6880022309			2010			clean		minneapolis	washington/WI	8299
6880175307			2001	295000		clean	8 cylinders	minneapolis	dakota/scott	7500
6880060225				58001	1LNBP96F2GY656566	clean	8 cylinders	minneapolis	washington/WI	6990
6879891460			1992	164000		missing		minneapolis	hennepin co	2000
6879793319			2005	128000	2gcek13t751373656	salvage	8 cylinders	minneapolis	dakota/scott	9000
6879933430			2013	88000		clean	8 cylinders	minneapolis	anok/chis/isa	23250
6879996197			2005			clean		minneapolis	ramsey co	2600
6879790047			2001	171394	1J4GW58N11C541546	clean	8 cylinders	minneapolis	hennepin co	3900
6878517552			2000			clean		minneapolis	anok/chis/isa	7000
6879410819	subaru	outback	2013	81200		rebuilt	4 cylinders	missoula		9600
6880163691	subaru	forester	2003	150000		rebuilt	4 cylinders	missoula		4200
6879495002			2007			clean		missoula		9500
6879934641			2015	75000		rebuilt		missoula		12500
6879847993			2004	228266		clean	8 cylinders	missoula		14500
6880378520						clean		atlanta	otp west	17500
6880271417			2005			clean		atlanta	otp east	6000
6880255251			2007			clean		atlanta	atlanta	1600
6880439886			2005			clean	8 cylinders	atlanta	otp west	10000
6880184016						clean		atlanta	otp north	3850
6880171796			1996	90000		clean	8 cylinders	atlanta	otp north	8400
6880506825				92455	4Y85Z	clean	8 cylinders	atlanta	atlanta	26500
6880276682			2017	18550	3VW517AT8HM806243	lien	4 cylinders	atlanta	otp north	19895
6880408209	subaru	outback	2002	146		clean	4 cylinders	atlanta	otp east	5999
6880515247			2014	143897		clean	8 cylinders	atlanta	otp north	10975
6880498244			2015			clean	4 cylinders	atlanta	otp north	29500
6880244390			2003		WDBTJ5JO3F021693	clean	8 cylinders	atlanta	atlanta	3500
6880393788						clean	8 cylinders	atlanta	atlanta	22000
6880513492			2012	101897		clean	6 cylinders	atlanta	otp north	14975
6880230216			2008	153524	1GNEC03098R192963	clean	8 cylinders	atlanta	atlanta	10500
6880658603			1999			clean		minneapolis	hennepin co	2900
6880461441			1999	59000		clean	8 cylinders	minneapolis	washington/WI	11900
6880950500				103404		clean	8 cylinders	minneapolis	anok/chis/isa	9800
6880551842			2009	113000	n/a	clean	4 cylinders	minneapolis	hennepin co	4250
6880739325			2005	188000	JNKCV51F85M301466	clean	6 cylinders	minneapolis	hennepin co	3900
6880436757			2000	43000	Coming	clean	8 cylinders	minneapolis	washington/WI	15000
6880418280			2002			clean		minneapolis	hennepin co	1500
6880406008			2007			clean	8 cylinders	minneapolis	ramsey co	4500
6880216884			2014			clean	6 cylinders	minneapolis	anok/chis/isa	16800
6880927352			2009	145000		clean	4 cylinders	minneapolis	ramsey co	2200
6880445658	subaru	forester	2005			clean		minneapolis	hennepin co	2000
6880234688			2002	138800		clean	6 cylinders	minneapolis	hennepin co	2200
6880627203			2001	75000		clean	6 cylinders	minneapolis	dakota/scott	6500
6880903106			2002	96577	waukfaflxcn008500	clean	4 cylinders	minneapolis	hennepin co	13950
6880216928	subaru	wrx	2009	123291		clean	4 cylinders	minneapolis	dakota/scott	11000
6880858815			2011			clean	8 cylinders	minneapolis	hennepin co	16999
6880202255			1999			clean		minneapolis	anok/chis/isa	4000
6880744825			2002	156450	3GNEK13T52G352895	clean	8 cylinders	minneapolis	ramsey co	4999
6880952855			2000	49827	1G1YY22G1Y5100052	clean	8 cylinders	minneapolis	hennepin co	15990
6880605833			2015			clean	8 cylinders	minneapolis	washington/WI	32000
6880409334			2008	166700		clean	8 cylinders	minneapolis	hennepin co	7500
6880371427			2002			clean	8 cylinders	minneapolis	dakota/scott	6500
6880901525			2015	43291	jtdkn3du2f1888231	clean	4 cylinders	minneapolis	hennepin co	16250
6880453658			2006	47226		clean	8 cylinders	minneapolis	washington/WI	12500
6880647005			2005	129500		clean	6 cylinders	minneapolis	anok/chis/isa	3500
6880890256			2005	174500	3GNGK26G45G100282	clean	8 cylinders	minneapolis	dakota/scott	11000
6880939829			2002			clean	8 cylinders	minneapolis	anok/chis/isa	8500
6880247329						missing		minneapolis	hennepin co	1850
6880605647			2010			clean	6 cylinders	minneapolis	dakota/scott	9750
6880264772						clean	8 cylinders	minneapolis	hennepin co	00000
6880246696			2007	116000	WDDDJ72X77A099041	clean	8 cylinders	minneapolis	hennepin co	9300
6880765370	subaru	impreza	2013			clean	4 cylinders	minneapolis	anok/chis/isa	3500
6880660576			2003	186400		clean	6 cylinders	atlanta	otp north	7800
6880915840	subaru	outback	2011	177000	4S4BRBBC7B3342236	clean	4 cylinders	atlanta	otp north	7500
6880637474			2007	200213		clean	8 cylinders	atlanta	atlanta	7900
6880635870			2008	144300	SALFP24N48H031992	clean	6 cylinders	atlanta	otp north	6900
6880878438			2005	170000		clean	8 cylinders	atlanta	otp south	15900
6880667393			2001,2008,2006,2003			clean		atlanta	otp south	16000
6880848233	subaru	legacy	2014	36500	4S3BMCL66E3014750	clean	4 cylinders	atlanta	atlanta	14800
6880625422			2009	117231		clean	6 cylinders	atlanta	atlanta	7900
6880652851			2002	223142		clean	8 cylinders	atlanta	atlanta	5500
6880686840			2015	53800	JM1BM1M35F12369xx	clean	4 cylinders	missoula		15750
6880360714			2009			clean		missoula		8500
6880453081				162000		clean	4 cylinders	missoula		2500
6880683058			2014		SALVT2BG3EH884858	clean	4 cylinders	atlanta	otp south	26000
6880855141			2008	113193	1GNFC13038R257977	clean	8 cylinders	atlanta	otp north	11500
6880623709					1FABP42E9JF263063	clean	other	atlanta	otp south	6500
6881236730	subaru	outback-xt	2005	180000		clean		minneapolis	anok/chis/isa	4500
6881017055			2011	136309	jtedc3ehxb2001264	clean	6 cylinders	minneapolis	hennepin co	16250
6881033084	subaru	forester		198000	JF1SF63501H706489	clean	4 cylinders	minneapolis	ramsey co	1000
