post_id	listing_name	make	model	year	odometer	vin	condition	title_status	cylinders	crumb_area	crumb_subarea	price
6620203091		subaru	forester	2001	152237		good	clean	4 cylinders	atlanta	atlanta	2580
6619786826		subaru	impreza	2017	13680		like new	clean	4 cylinders	atlanta	atlanta	16500
6619147840		subaru	baja	2004	220000		good	rebuilt		atlanta	atlanta	6100
6621458548		subaru	outback	2006	140000			clean		atlanta	atlanta	3500
6621173652		subaru	brz	2013	43500			clean		minneapolis	ramsey co	18000
6619818475				2016,2017,1999				lien		minneapolis	anok/chis/isa	1800
6617228376		subaru	sti-wrx	2004	160000			clean		minneapolis	hennepin co	15995
6619090419		subaru	impreza-outback	2007	127000		excellent	clean	4 cylinders	minneapolis	hennepin co	5900
6621031958		subaru		2003	160000			clean		atlanta	atlanta	2750
6620197905		subaru		2004	164891		excellent	clean	4 cylinders	atlanta	otp east	3600
6620724858		subaru	brz	2013	34000		like new	salvage	4 cylinders	atlanta	atlanta	18500
6617109705		subaru	impreza-wrx	2002				clean		atlanta	otp north	3000
6603068518		subaru	tribeca	2009	149133	4S4WX91D294404219	good	clean		atlanta	atlanta	6850
6613717624		subaru	legacy	2009				clean	4 cylinders	atlanta	atlanta	48
6621150537				2007			good	rebuilt		atlanta	atlanta	4700
6621499531		subaru	impreza-wrx	2013	71200		excellent	lien	4 cylinders	atlanta	otp east	17500
6619993651		subaru	forester	2009	127741		good	clean		minneapolis	anok/chis/isa	6595
6621173346		subaru	legacy	2005	197000		fair	clean	4 cylinders	minneapolis	hennepin co	1800
6607695914		subaru	brz-sti-wrx	2015	27000		like new	clean		minneapolis	hennepin co	19495
6618481849		subaru	forester-xt	2004	208000		good	clean	4 cylinders	minneapolis	carv/sher/wri	4500
6617621478		subaru	impreza-outback	2005	152554		good	lien	4 cylinders	minneapolis	anok/chis/isa	3500
6619177003		subaru	baja-forester	2003,1999,2001				clean		minneapolis	dakota/scott	1
6621410767		subaru	impreza	1999	222000	1HGEJ6675XL010138	salvage	salvage	4 cylinders	minneapolis	hennepin co	850
6620736756		subaru	forester	2006	123397	JF1SG6563H727833	excellent	clean		atlanta	atlanta	3950
6621722942		subaru		2002	109300		good	clean	4 cylinders	atlanta	atlanta	3500
6622009398		subaru	forester	2007				clean		atlanta	otp north	5900
6620930460		subaru	impreza-sti-wrx	2006	1		excellent	clean	4 cylinders	atlanta	otp east	8500
6621951858		subaru	legacy	2003		4S3BE635037210792		clean		atlanta	otp east	2500
6621609619		subaru	brz	2015	27200			clean	4 cylinders	atlanta	otp north	19500
6622402698		subaru		2004	164891		excellent	clean	4 cylinders	atlanta	otp east	3600
6621394919		subaru		2014	75000		like new	clean	4 cylinders	atlanta	otp north	14500
6619894858		subaru	legacy	2017	48000		like new	clean	3 cylinders	atlanta	atlanta	15700
